ObjectId;Country;ISO3;Indicator;CTS Name;Unit;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
55;Armenia, Rep. of;ARM;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;;;;;;;;;;;;;;;;;;;58886136;;;;84138962;538781571;272477729,8;510530804;697507117,6;
56;Armenia, Rep. of;ARM;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;;;;;;;;;;;;;;;;;;;0,001292599;;;;0,001512069;0,00895427;0,004164211;0,008258792;0,009988699;
57;Armenia, Rep. of;ARM;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;;;;;;;;;;;;;;;;;;;8150768495;;;;10051647149;14958894946;13200897334;12305019805;13113863648;
58;Armenia, Rep. of;ARM;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;;;;;;;;;;;;;;;;;;;0,178916063;;;;0,180639038;0,248609065;0,201746112;0,199056752;0,187797996;
59;Armenia, Rep. of;ARM;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;;;;;;;;;;;;;;;;;;;156635724;;;;71589915;122819233;158716088,7;303556065,4;933886915,2;
60;Armenia, Rep. of;ARM;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;;;;;;;;;;;;;;;;;;;0,003438283;;;;0,001286549;0,002041192;0,002425619;0,004910588;0,013373793;
61;Australia;AUS;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;849000000;976000000;1206000000;1051000000;1366000000;1353000000;1325000000;1413000000;1673000000;1766000000;1777000000;2292000000;2318000000;2417000000;2462000000;2643000000;2824000000;3039000000;3214000000;2673000000;2506000000;
62;Australia;AUS;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;0,116404539;0,124866626;0,145323791;0,117583486;0,141838228;0,130276788;0,117075843;0,114447151;0,132385874;0,129533204;0,121099367;0,151288627;0,147785544;0,149805445;0,150264703;0,155566307;0,156685198;0,160472197;0,161181126;0,135934446;0,115208909;
63;Australia;AUS;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;2865000000;2892000000;3119000000;3542000000;3926000000;4075000000;4802000000;5354000000;6534000000;7049000000;8261000000;9927000000;11796000000;14145000000;14955000000;15304000000;12248000000;13086000000;14106000000;15536000000;16218000000;17578000000;18435000000;
64;Australia;AUS;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;0,449349032;0,421359979;0,427639291;0,453153266;0,473085576;0,455901718;0,498614326;0,515522484;0,577338535;0,570939819;0,653699762;0,728129169;0,80387627;0,933672611;0,953465405;0,948540559;0,747539431;0,770238629;0,782649223;0,820367243;0,813327783;0,89392282;0,847516457;
65;Australia;AUS;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;2091000000;2510000000;2598000000;2778000000;3197000000;3107000000;4241000000;4461000000;5195000000;5924000000;5634000000;7540000000;6245000000;5344000000;5555000000;5703000000;5537000000;6114000000;6405000000;7266000000;7499000000;
66;Australia;AUS;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;;;;;;;0,286692452;0,321122162;0,313060705;0,310796312;0,3319596;0,299164804;0,374731057;0,361322533;0,411084646;0,434515684;0,383947008;0,497694697;0,398153892;0,331220645;0,339041602;0,335677128;0,307211736;0,322845348;0,321208808;0,369509797;0,344753236;
67;Australia;AUS;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;;;;;;;0;0;0;0;0;0;0;0;0;10000000;10000000;35000000;32000000;9000000;6000000;7000000;9000000;10000000;9000000;8000000;8000000;
68;Australia;AUS;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;;;;;;;0;0;0;0;0;0;0;0;0;0,000733484;0,000681482;0,002310254;0,00204018;0,000557819;0,000366202;0,000412018;0,000499351;0,000528043;0,000451347;0,000406837;0,000367786;
69;Australia;AUS;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;;;;;;;-2000000;42000000;111000000;238000000;225000000;336000000;344000000;458000000;678000000;919000000;3117000000;2996000000;4930000000;5650000000;2246000000;2655000000;3492000000;3978000000;4142000000;4861000000;5621000000;
70;Australia;AUS;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;;;;;;;-0,000274216;0,005373359;0,013375573;0,026626898;0,023362812;0,03235255;0,03039554;0,037096104;0,053650701;0,067407143;0,212417967;0,197757734;0,314315242;0,350186498;0,137081447;0,156272624;0,193748127;0,210055413;0,207720044;0,247204393;0,258415514;
71;Australia;AUS;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;;;;;;;173000000;11000000;11000000;8000000;11000000;265000000;326000000;339000000;347000000;949000000;1079000000;1099000000;1188000000;1267000000;1331000000;1429000000;1514000000;1590000000;1684000000;1987000000;2057000000;
72;Australia;AUS;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;;;;;;;0,023719653;0,001407308;0,001325507;0,000895022;0,001142182;0,025516148;0,028805075;0,027457597;0,027458397;0,069607594;0,073531917;0,072541972;0,075741685;0,078528547;0,081235711;0,084110576;0,084001909;0,0839588;0,084452089;0,101048165;0,09456693;
73;Australia;AUS;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;;;;;;;9000000;3000000;1000000;1000000;2000000;294000000;298000000;378000000;367000000;358000000;180000000;183000000;242000000;616000000;648000000;650000000;731000000;804000000;763000000;782000000;745000000;
74;Australia;AUS;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;;;;;;;0,00123397;0,000383811;0,000120501;0,000111878;0,000207669;0,028308482;0,02633102;0,030616435;0,029041014;0,026258713;0,012266678;0,012079328;0,015428862;0,038179625;0,039549767;0,038258835;0,040558385;0,042454638;0,038264219;0,039768327;0,034250055;
75;Austria;AUT;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;11940000;16850000;16870000;25250000;30650000;38890000;39420000;35830000;44090000;51560000;58110000;58730000;61890000;65780000;62100000;64920000;62450000;59440000;60170000;63830000;72420000;81810000;74660000;79640000;83160000;85630000;90280000;
76;Austria;AUT;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;0,006761885;0,009230813;0,008938989;0,012859912;0,015035521;0,018206383;0,017875524;0,015802568;0,01901558;0,021275165;0,022871199;0,021928547;0,021793942;0,022392284;0,021559199;0,021940097;0,020136808;0,018653514;0,018576136;0,019159762;0,021035858;0,022877005;0,020213243;0,020662964;0,020919781;0,022574571;0,022396217;
77;Austria;AUT;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;2098900000;2289320000;713270000;819760000;937790000;948090000;1072800000;1109530000;1254700000;1216650000;1310830000;1314080000;1314150000;1350140000;1577080000;1693530000;1504750000;1528350000;1457160000;1514370000;1397700000;1348420000;1323980000;1436150000;1573600000;1577430000;1751410000;
